Date,predicted_price,prediction_date
2020-07-18,9931.11190592448,2020-07-25
2022-04-15,40458.22843424479,2022-04-22
2021-09-14,47497.913671875,2021-09-21
2020-08-02,10702.88701171875,2020-08-09
2025-03-06,95943.32779947917,2025-03-13
2022-12-12,18194.175048828125,2022-12-19
2020-07-04,8977.058463541667,2020-07-11
2024-02-01,44591.186848958336,2024-02-08
2022-03-24,44763.21188151042,2022-03-31
2021-04-03,56422.210188802084,2021-04-10
2022-05-28,28526.169791666667,2022-06-04
2020-02-07,9668.996533203124,2020-02-14
2022-05-04,38106.28956705729,2022-05-11
2021-10-06,55895.60787760417,2021-10-13
2020-06-05,9529.063663736979,2020-06-12
2021-09-12,44791.2416015625,2021-09-19
2023-11-24,42785.58880208333,2023-12-01
2020-05-18,9031.298771158854,2020-05-25
2024-03-21,66374.40289713541,2024-03-28
2024-05-16,61881.95205078125,2024-05-23
2020-03-31,7058.578767903646,2020-04-07
2024-12-02,95983.26490885417,2024-12-09
2024-01-16,44250.4130859375,2024-01-23
2020-08-01,11176.52637532552,2020-08-08
2022-12-24,18747.904850260416,2022-12-31
2023-06-22,29199.92801106771,2023-06-29
2020-01-11,7628.8794352213545,2020-01-18
2020-01-21,9166.448950195312,2020-01-28
2023-05-06,26993.640657552085,2023-05-13
2023-08-15,28696.33126627604,2023-08-22
2023-04-21,27291.37814127604,2023-04-28
2022-05-13,31875.886669921874,2022-05-20
2020-11-27,17001.675260416665,2020-12-04
2022-05-12,35383.44322916667,2022-05-19
2023-04-28,28322.896826171876,2023-05-05
2022-07-05,22323.299397786457,2022-07-12
2020-12-13,19813.01691080729,2020-12-20
2020-11-20,19575.178059895832,2020-11-27
2022-07-15,21156.071044921875,2022-07-22
2021-09-30,45093.34169921875,2021-10-07
2024-02-08,45104.2298828125,2024-02-15
2023-09-02,26181.356184895834,2023-09-09
2021-08-31,48456.07526041667,2021-09-07
2021-06-29,36123.3,2021-07-06
2024-01-15,43508.09332682292,2024-01-22
2022-11-19,16768.22744140625,2022-11-26
2022-05-11,34628.35030924479,2022-05-18
2023-10-24,35229.80844726563,2023-10-31
2022-09-24,20003.809309895834,2022-10-01
2023-09-15,27077.72625325521,2023-09-22
2020-07-30,11267.352913411458,2020-08-06
2022-04-28,39807.48180338542,2022-05-05
2020-08-25,11553.203149414063,2020-09-01
2023-10-13,27111.591162109376,2023-10-20
2022-08-14,23284.982763671876,2022-08-21
2023-06-04,28092.809830729166,2023-06-11
2024-03-02,62756.10029296875,2024-03-09
2023-09-27,26922.310579427085,2023-10-04
2020-08-19,11912.093440755209,2020-08-26
2024-07-25,62153.949381510414,2024-08-01
2024-07-24,61600.624837239586,2024-07-31
2022-09-23,19831.612955729168,2022-09-30
2022-01-13,43844.52454427083,2022-01-20
2022-12-19,16998.37273763021,2022-12-26
2023-07-01,29487.820735677084,2023-07-08
2021-04-28,59232.98294270833,2021-05-05
2021-01-09,39759.895751953125,2021-01-16
2021-05-31,38464.859619140625,2021-06-07
2023-05-24,26035.458658854168,2023-05-31
2022-11-14,17239.158430989584,2022-11-21
2020-12-01,19628.25517578125,2020-12-08
2020-06-28,9056.340844726563,2020-07-05
2023-02-26,23365.221061197917,2023-03-05
2024-10-24,67428.93118489583,2024-10-31
2020-10-23,13536.151586914062,2020-10-30
2023-11-22,39662.81778971354,2023-11-29
2024-04-24,60068.298079427084,2024-05-01
2022-12-21,17159.421240234376,2022-12-28
2022-11-27,17020.83273111979,2022-12-04
2022-09-03,20740.6134765625,2022-09-10
2023-10-06,28825.594482421875,2023-10-13
2020-10-27,15163.578149414063,2020-11-03
2020-07-11,10180.415486653646,2020-07-18
2021-04-13,55545.281477864584,2021-04-20
2022-12-29,17313.22508138021,2023-01-05
2022-08-22,20332.21902669271,2022-08-29
2022-09-19,19384.600260416668,2022-09-26
2022-03-02,42399.01608072917,2022-03-09
2020-05-15,9105.65340983073,2020-05-22
2022-11-07,19799.011482747395,2022-11-14
2021-08-26,48124.18173828125,2021-09-02
2022-02-14,44236.16858723958,2022-02-21
2023-09-20,27963.24990234375,2023-09-27
2021-11-12,63372.709147135414,2021-11-19
2023-04-22,27720.93435872396,2023-04-29
2022-04-25,38276.04723307292,2022-05-02
2022-12-16,17088.73972981771,2022-12-23
2020-03-23,6903.547924804688,2020-03-30
2024-12-10,96011.95130208334,2024-12-17
2022-09-18,20215.73273111979,2022-09-25
2020-06-07,9684.281551106771,2020-06-14
2020-09-12,10922.230647786459,2020-09-19
2020-05-27,8798.963167317708,2020-06-03
2024-06-08,68998.38587239584,2024-06-15
2023-08-24,26693.270458984374,2023-08-31
2023-01-21,23469.734309895834,2023-01-28
2023-02-20,27852.376139322918,2023-02-27
2020-03-04,8493.874137369792,2020-03-11
2024-10-05,63567.83453776042,2024-10-12
2023-02-22,22540.046305338543,2023-03-01
2022-05-19,29442.1234375,2022-05-26
2024-12-08,97491.27649739584,2024-12-15
2023-05-27,27885.51531575521,2023-06-03
2024-09-01,60979.5150390625,2024-09-08
2022-07-17,20916.02353515625,2022-07-24
2024-12-09,95670.7845703125,2024-12-16
2022-10-04,21355.720751953126,2022-10-11
2021-05-13,50937.32317708333,2021-05-20
2022-06-07,31227.71368815104,2022-06-14
2025-02-22,96615.22063802084,2025-03-01
2020-12-09,20042.22568359375,2020-12-16
2021-12-06,49129.96494140625,2021-12-13
2021-01-25,36327.45159505208,2021-02-01
2023-04-06,29392.795491536457,2023-04-13
2025-01-25,98860.87799479166,2025-02-01
2024-08-09,60702.133561197916,2024-08-16
2022-08-23,19814.237874348957,2022-08-30
2023-07-05,32151.52023111979,2023-07-12
2021-12-08,48046.93108723958,2021-12-15
2020-07-14,9267.233056640625,2020-07-21
2021-02-25,47454.23190104167,2021-03-04
2023-08-30,27205.45428059896,2023-09-06
2021-07-31,43646.29352213542,2021-08-07
2024-11-12,88639.56783854167,2024-11-19
2024-03-27,68152.10885416667,2024-04-03
2021-01-12,35800.581315104166,2021-01-19
2020-02-12,10690.908976236979,2020-02-19
2025-01-12,100055.95559895833,2025-01-19
2023-05-14,27674.831022135415,2023-05-21
2024-05-29,69532.53134765624,2024-06-05
2023-10-14,28357.011653645834,2023-10-21
2020-09-15,10904.301879882812,2020-09-22
2022-07-07,21954.892350260416,2022-07-14
2024-06-01,67483.58629557291,2024-06-08
2023-03-16,28417.698193359374,2023-03-23
2022-09-13,21632.709505208335,2022-09-20
2022-05-01,39494.66455078125,2022-05-08
2023-12-02,40861.93740234375,2023-12-09
2020-05-13,8708.988435872396,2020-05-20
2023-11-20,41735.83460286458,2023-11-27
2023-09-09,26174.237467447918,2023-09-16
2020-10-31,15331.796248372395,2020-11-07
2021-10-16,61594.9634765625,2021-10-23
2020-01-04,8190.699165852865,2020-01-11
2021-06-16,38868.11238606771,2021-06-23
